Name,City,Country,Region,Term,GPA,Advisor,College,Credits,Costs,SAPA,About
Aoyama Gakuin University,Tokyo,Japan,Asia,Fall,3.25,Maria Saley,CLAS,N/A,N/A,No,"AGU has established a national reputation for the quality of its education and its international ambiance and is widely recognized as one of the leading private universities in Japan. Aoyama Gakuin University aims to educate students with a strong sense of social responsibility and morality in order to contribute to society and today's world in accordance with its educational policy based on the Christian faith. The university's undergraduate and graduate programs include courses on literature, law, economics, business, international politics, economics, communication, science, engineering and cultural studies. Aoyama Gakuin University has been champion of the prestigious Hakone Ekiden five times in the last six years"
Aston University - Business,Birmingham,United Kingdom,Europe,Spring,3,N/A,Business,N/A,N/A,No,"Aston University was established in 1895 and has a proven record of academic excellence. The Aston Business School is one of the largest and most highly regarded business schools in Europe. Located in the bustling city of Birmingham, there are many social and cultural activities available for students to enjoy. The university embraces international culture and hosts students from over 65 countries around the world. Aston is known for its close-knit campus atmosphere, allowing for international students to feel at home during their stay."
BI Norwegian Business School,Oslo,Norway,Europe,Fall,3,N/A,Business,N/A,N/A,No,"BI Norwegian Business School, established in 1943, is the second largest academic institution in Norway and one of the largest business schools in Europe. Norway is one of the leading producers of aluminum, magnesium, Ferro-alloys and chemicals, and is a major supplier of oil and natural gas. Due to this, the society's standard of living is very high and the average GNP per capita is one of the highest in the world."
Bocconi University,Milan,Italy,Europe,Spring,3,N/A,Business,N/A,N/A,No,"Established in 1902, Bocconi was the first university in Italy to offer a degree in economics. The University strives to meet the demands of scientific research and training in the Italian economic system. As a result, much attention is given to both economic and civic life in order to support innovation and development in businesses nationwide. As part of its mission, Bocconi has established a center of international culture based on the cultivation of relations with the leading players in world economics. Bocconi has had a long-standing tradition of hospitality toward international guests since 1974. The program continues to grow and now welcomes more than 500 exchange students from over 100 partner institutions. The cultural enrichment and diversity among students enliven the courses and allow individuals to become acquainted with different aspects of academic and social traditions. Students enjoy the cultural learning experience not only in the classroom but in the city as well. In addition to enjoying museums, theatres, shops, and cinemas, students can go dancing, listen to live music, and take advantage of numerous travel options. As one would expect, most social activities take place on Friday and Saturday nights, whereas Sunday and Monday are very subdued and many places are closed. On Wednesday evenings, young people flock to the cinema for discount ticket night. Bocconi offers many services to its exchange students each term. An on-site orientation is provided during the weeks before classes begin, and there is a “Student Exchange Network” made up of former exchange students who offer tutoring and organize events each semester. Additionally, the International Relations office provides each student with a mailbox on campus, free e-mail and computer access, two academic advisors to assist with registration, internship opportunities, and many extra-curricular activities. Students may take advantage of special tickets for performances at La Scala, weekend trips to the mountains, conferences with world-class speakers, and much more."
Cardiff University,Cardiff,United Kingdom,Europe,Spring,3,Emma Frierson,CLAS,N/A,N/A,No,"The University of Florida’s College of Liberal Arts and Science offers students the opportunity to study in Cardiff, Wales. Cardiff University is a public research university in Cardiff, Wales. Founded in 1883, the University is a highly regarded research institution. It is home to 2,495 undergraduate students and has over 6,000 international students attending the institution. "
Catolica Lisbon School of Business and Economics,Lisbon,Portugal,Europe,Spring,3,N/A,Business,N/A,N/A,No,"Católica Lisbon School of Business & Economics is Portugal’s first business school and belongs to the Portuguese Catholic University, one of the leading institutions of its kind. CATÓLICA-LISBON is accredited by all three management education associations, EQUIS, AMBA and AACSB – a great accomplishment as less than 1% of all business schools worldwide can claim this triple accreditation. It is also the first and only Portuguese Business School ranked in the Financial Times Executive Education Rankings. In 2009, the institute was ranked as the 37th best business school in the world and the 17th best in Europe. The CATÓLICA-LISBON experience is made to be international. The student body represents over 30 different nationalities and 50% of the students are international students. In addition, 35% of CATÓLICA-LISBON’s faculty is from abroad."
Chulalongkorn University,Bangkok,Thailand,Asia,Fall,3,Maria Saley,Business,N/A,N/A,No,"Chulalongkorn University is the oldest and one of the most prestigious universities in Thailand. Founded in 1917 by King Vajiravudh (Rama VI), the university was named as a tribute to the king’s royal father, King Chulalongkorn (Rama V). Over a period of time, Chulalongkorn University, or Chula for short, has grown to become a full-fledged university. Today, Chula has eighteen faculties, a graduate school, eleven research institutes, three teaching institutes, and four affiliated institutions with more than 2,800 faculty members. The Chulalongkorn University campus covers 500 acres in the heart of Bangkok, the capital of Thailand. The campus is within reach of the major business and financial district, as well as various other facilities."
Chuo University,Tokyo,Japan,Asia,Fall,2.5,Maria Saley,N/A,N/A,N/A,No,"Chuo University was established in 1885. Today it is one of the largest and most prestigious private universities in Japan and is particularly renowned for accomplishments in law, policy studies, science and engineering. Many of Chuo's Business and Economics graduates have gone on to become top-level executives at major corporations in Japan and abroad. During Chuo's 134-year history, they have grown into a comprehensive university with eight faculties, seven graduate schools, and two professional graduate schools, in addition to nine research institutes, four affiliated high schools, and two affiliated junior high schools. Chuo still continues to produce many of Japan's judges, prosecutors and lawyers. Chuo was founded on the spirit of “Fostering the Ability to Apply Knowledge to Practice”, and they aspire to provide practical education that helps young people meet the demands of today’s global society."
EADA Business School,Barcelona,Spain,Europe,Spring,2.5,N/A,Business,N/A,N/A,No,"EADA, founded in 1957, was one of the first Spanish institutions to offer executive training programmes to the business community. For more than 50 years close to 100000 participants from over 40 different countries have entrusted their training to us, a fact that highlights EADA as one of the most innovative and prestigious business schools in Spain. EADA is the only management institution in Spain with its own residential training centre. This is a vital tool in the EADA methodology as participants attend a series of professional development modules during the year where outdoor training is noted for the development of leadership and teambuilding skills. EADA has been awarded the AMBA and EQUIS accreditations, which recognise the quality of its masters and MBA programmes. Currently these accreditations are only held by 4 business schools in Spain and by a selected group of the world's most prestigious business schools. EADA is also a member of the Executive MBA Council."
Eastern Switzerland University of Applied Sciences (OST),Rapperswil,Switzerland,Europe,Spring,3,Morgan Williams-Franklin,Engineering,N/A,N/A,No,"OST offer studies at Bachelor’s and Master’s level in technology and planning sciences at a breathtakingly scenic campus on Lake Zurich. OST teach Bachelor and Master students in practice-oriented study programmes such as civil engineering, electrical engineering, renewable energies and environmental engineering, computer science, landscape architecture, mechanical engineering and innovation, spatial planning and industrial engineering."
EBS Universität für Wirtschaft und Recht,Oestrich-Winkel Wiesbaden,Germany,Europe,Fall,3,Morgan Williams-Franklin,Business,N/A,N/A,No,"The EBS University of Business and Law exchange program is open only to graduate business students. If interested, please contact Ana Portocarrero, Director of MAIB and MSM programs, at ana.portocarrero@warrington.ufl.edu."
Ecole de Management de Lyon,Lyon,France,Europe,Summer B,2.7,N/A,Business,N/A,N/A,No,"The Hough Graduate School of Business  is pleased to announce the following exchange program. EM Lyon is a well-respected business school in France. It has renowned faculty and extensive company contacts. The education offered at EM Lyon is centered on entrepreneurship, innovation and humanism. Exchange students are allowed to take part in all career activities, including interviewing with companies of interest for jobs or internships. Through carefully designed courses, in-depth specializations, hands-on learning and a dedicated careers team, students will work together to develop the skills they need to become a leader in their field."
"Ecole d'Ingénieurs de PURPAN - French, Food & Wine (IBC Program)",Toulouse,France,Europe,Spring,3,Cristy Dodson,CALS,N/A,N/A,No,"The University of Florida’s College of Agriculture and Life Sciences offers students the opportunity to study at École d'ingénieurs de Purpan in Toulouse, France. The Ecole d’Ingénieurs de PURPAN, a Jesuit private College founded in 1919, has maintained a spirit of direct collaboration with the agricultural environment. It is administrered by a non-profit association and depends on the French Ministry of Agriculture. The campus is very pleasant and at a human scale. International Bachelor Certificate in Animal Productions & Food Sciences (IBC):  Some modules may be open to exchange students (Semester 1 : focus on Animal Productions / Semester 2 : focus on Food Science)"
Ecole Superieure de Commerce de Toulouse - Barcelona,Barcelona,Spain,Europe,Spring,2.5,Lisa Dias,Business,N/A,N/A,No,"The Barcelona business school is notable for the highly international profile of its students. More than 60% of students on the Bachelor program are international and come from over 60 different countries. For this reason, the working language on the campus is primarily English. Each year, TBS Barcelona hosts more than 700 students, 36% of whom are international, 58% French and 6% Spanish. Barcelona, the Catalan capital and the second largest city in Spain, is a dynamic European business center and one of the world’s most popular and cosmopolitan destinations. Its outstanding setting by the sea, along with its role as a center of commerce and its innovative spirit, have made it a focal point of attraction and a cultural melting pot. The Bachelor in Management is delivered at TBS Barcelona, which is also home to the official Master in Management program as well as its own degrees: MSc Fashion & Luxury Marketing, MSc Financial Management & Control, MSc Tourism & Hospitality Management, MSc International Busines, MSc Marketing Management and the Summer School."
Ecole Superieure de Commerce de Toulouse - ESCT,Toulouse,France,Europe,Spring,3,N/A,Business,N/A,N/A,No,"This program is specifically designed for Graduate Business Students and will participate in an Exchange with Toulouse Business School in France. Today, TBS is one of France’s leading integrated management schools, with a primary mission of preparing students for managerial responsibilities through the development of their analytical, integrative, and interpersonal skills while promoting a lifelong learning process. The international scope and academic tradition at TBS continues to evolve in exciting directions, with partnerships around the world and new degree programs taught on campuses in Barcelona and Casablanca."
ESCI (Pompeu Fabra),Barcelona,Spain,Europe,Fall,3,N/A,Business,N/A,N/A,No,"ESCI – Universitat Pompeu Fabra (UPF) was created in 1993 through a joint initiative between the Government of Catalonia and Universitat Pompeu Fabra, a public university located in Barcelona. The founding objective was to prepare students for the necessary internationalization of the Catalan economic and productive fabric. At ESCI classes are small and instruction is of a high quality, emphasizing practical application. The teaching staff consists of lecturers from ESCI and from UPF’s departments of Economics and Business and Humanities amongst others; as well as renowned professionals from the world of international business. The ESCI building, designed by the architect Rafael Cáceres Zurita, reflects the message of internationalism inherent in the school’s academic activity. It is centrally located in the Barcelona city center, near Passeig de Picasso, the Cataluña Parliament and the Barcelona Zoo."
Global E3 -  University of New South Wales,Sydney,Australia,Australia/Pacific Islands,Fall,3,Emma Stetter,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - American University in Cairo,Cairo,Egypt,Africa,Spring,3,Cristy Dodson,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Chalmers University of Technology,Gothenburg,Sweden,Europe,Spring,3,Emma Frierson,Engineering,N/A,N/A,No,"Chalmers University of Technology was founded in 1829 and named after William Chalmers, a director of the Swedish East India Company, who set aside funds in his will to establish an “industry school for poor children”. Located in Gothenburg, on the beautiful west coast of Sweden, the center for Manufacturing, Biotech and the Automotive Industry. Chalmers boasts close to 11,000 students of which about 20% are international students from over 80 countries. The University hosts 13 Departments, engaged in research, innovation, and education, mostly in engineering, science, shipping, and architecture. Chalmers is one of the most prestigious universities of technology in Europe, known for its close collaboration with industry. Chalmers utilizes modern pedagogical methods such as problem-based learning and project-based teamwork under authentic conditions. The University currently offers over 700 courses taught in English at both undergraduate- and graduate level that are broadly available for incoming exchange students. A new initiative on Campus is our Fuse learning environment, which is a modern makerspace and lab – a creative meeting place where education, research, industry, and the public sector come together to develop, test, and implement ideas. It is also the physical location for the Tracks initiative – a cutting-edge educational concept that offers students and alumni interdisciplinary courses in close collaboration with the wider community."
Global E3 - Ecole Nationale Superieure de l'ectronique et de ses Applications (ENSEA),Cergy-Pontoise,France,Europe,"Fall, Spring",3,Cristy Dodson,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Hamburg University of Applied Sciences,Hamburg,Germany,Europe,Spring,3,Morgan Williams-Franklin,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Hanyang University,Seoul,South Korea,Asia,Fall,3,Maria Saley,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Institut National des Sciences Appliquées (INSA Lyon),Lyon,France,Europe,Spring,3,Cristy Dodson,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Institut Teknologi Bandung,Bandung,Indonesia,Asia,Fall,3,Maria Saley,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Instituto Tecnologico de Buenos Aires,Buenos Aires,Argentina,South America,Spring,3,Lisa Dias,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Khalifa University of Science & Technology,Abu Dhabi,United Arab Emirates,Middle East,Fall,3,Cristy Dodson,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Koç University,Istanbul,Turkey,Middle East,Spring,3,Cristy Dodson,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Korea Advanced Institute of Science and Technology (KAIST),Daejeon,South Korea,Asia,Spring,3,Maria Saley,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - KU Leuven,Leuven,Belgium,Europe,Fall,3,Cristy Dodson,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Lund University,Lund,Sweden,Europe,Spring,3,Emma Frierson,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Munich University of Applied Science,Munich,Germany,Europe,Spring,3,Morgan Williams-Franklin,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Nanyang Technological University,Singapore,Singapore,Asia,Spring,3,Maria Saley,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Politecnico di Milano,Milan,Italy,Europe,Spring,3,Iva Lien,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - RWTH Aachen University,Aachen,Germany,Europe,Spring,3,Morgan Williams-Franklin,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Technical University of Denmark,Lyngby,Denmark,Europe,Fall,3,Emma Frierson,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Technion - Israel Institute of Technology,Haifa,Israel,Middle East,Spring,3,Cristy Dodson,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Tecnologico de Monterrey,Monterrey,Mexico,North America,Fall,3,Lisa Dias,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Tohoku University,Sendai,Japan,Asia,Fall,3,Maria Saley,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
Global E3 - Universidad de los Andes,Bogota,Colombia,South America,Spring,3,Lisa Dias,Engineering,N/A,N/A,No,"In order to provide an even extensive list of opportunities to UF engineering students, the College of Engineering has partnered with IIE/Global Engineering Education Exchange to enhance its offerings.  Programs listed under the Global E3 option are exchange programs and run at the same cost as other UF exchange programs. Global E3: is an international exchange program for engineering students at member institutions, has overseas members that include a consortium of western European universities plus selected individual institutions in other world regions, including Asia, central and eastern Europe and Latin America, provides opportunities for students to receive academic credit for courses taken at an overseas institution and practical training in a foreign setting for summer, semester or academic year, has been recognized and supported by the National Science Foundation and the US Department of Education"
